
                                Name                                           Version             Type   
  com.ibm.ws.security.authentication                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.authorization                                 1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.authorization.builtin                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.context                                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.credentials                                   1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.credentials.ssotoken                          1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.credentials.wscred                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.java2sec                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.kerberos.auth                                 1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.mp.jwt.proxy                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.quickstart                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.ready.service                                 1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.registry                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.registry.basic                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.token                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.token.ltpa                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.token.s4u2                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.utility                                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.security.utility.securityutil                          1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.serialization                                          1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.session.jakarta                                        1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.session.monitor                                        1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.ssl                                                    1.6.88.cl240420240408-2000     maven  
  com.ibm.ws.threading                                              1.1.88.cl240420240408-2000     maven  
  com.ibm.ws.timer                                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.transaction.context.jakarta                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.transaction.jakarta                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.transport.http                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.tx.embeddable.jakarta                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.tx.jta.extensions.jakarta                              1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webcontainer.cors.jakarta                              1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.webcontainer.jakarta                                   1.1.88.cl240420240408-2000     maven  
  com.ibm.ws.webcontainer.monitor.jakarta                           1.0.88.cl240420240408-2000     maven  
